VARIABLES = "x", "y", "U", "V", "S2N", ZONE I=52, J=55
 16.0000	880.0000	-706.4550	1070.8968	  0.0000
 32.0000	880.0000	-841.8971	1047.7021	  0.0000
 48.0000	880.0000	-515.2278	778.3229	  0.0000
 64.0000	880.0000	-424.0121	698.8517	  0.0000
 80.0000	880.0000	-137.3813	564.3203	  0.0000
 96.0000	880.0000	-45.0838	551.3036	  0.0000
112.0000	880.0000	     nan	     nan	  1.0000
128.0000	880.0000	     nan	     nan	  1.0000
144.0000	880.0000	     nan	     nan	  1.0000
160.0000	880.0000	     nan	     nan	  1.0000
176.0000	880.0000	1259.0059	271.6872	  0.0000
192.0000	880.0000	1417.2659	206.1790	  0.0000
208.0000	880.0000	     nan	     nan	  1.0000
224.0000	880.0000	     nan	     nan	  1.0000
240.0000	880.0000	1997.3687	132.9202	  0.0000
256.0000	880.0000	1589.5704	121.8212	  0.0000
272.0000	880.0000	1093.0165	151.3202	  0.0000
288.0000	880.0000	     nan	     nan	  1.0000
304.0000	880.0000	     nan	     nan	  1.0000
320.0000	880.0000	     nan	     nan	  1.0000
336.0000	880.0000	     nan	     nan	  1.0000
352.0000	880.0000	     nan	     nan	  1.0000
368.0000	880.0000	     nan	     nan	  1.0000
384.0000	880.0000	     nan	     nan	  1.0000
400.0000	880.0000	     nan	     nan	  1.0000
416.0000	880.0000	     nan	     nan	  1.0000
432.0000	880.0000	     nan	     nan	  1.0000
448.0000	880.0000	     nan	     nan	  1.0000
464.0000	880.0000	     nan	     nan	  1.0000
480.0000	880.0000	     nan	     nan	  1.0000
496.0000	880.0000	1640.5845	-130.2427	  0.0000
512.0000	880.0000	1595.1049	 22.2473	  0.0000
528.0000	880.0000	     nan	     nan	  1.0000
544.0000	880.0000	     nan	     nan	  1.0000
560.0000	880.0000	     nan	     nan	  1.0000
576.0000	880.0000	     nan	     nan	  1.0000
592.0000	880.0000	     nan	     nan	  1.0000
608.0000	880.0000	     nan	     nan	  1.0000
624.0000	880.0000	     nan	     nan	  1.0000
640.0000	880.0000	1619.1110	-109.2234	  0.0000
656.0000	880.0000	     nan	     nan	  1.0000
672.0000	880.0000	     nan	     nan	  1.0000
688.0000	880.0000	1440.0050	-76.9916	  0.0000
704.0000	880.0000	1264.0608	 -4.3427	  0.0000
720.0000	880.0000	     nan	     nan	  1.0000
736.0000	880.0000	     nan	     nan	  1.0000
752.0000	880.0000	1041.4142	-136.5659	  0.0000
768.0000	880.0000	     nan	     nan	  1.0000
784.0000	880.0000	     nan	     nan	  1.0000
800.0000	880.0000	1935.1915	2804.1750	  0.0000
816.0000	880.0000	     nan	     nan	  1.0000
832.0000	880.0000	     nan	     nan	  1.0000
 16.0000	864.0000	-664.9138	1016.7711	  0.0000
 32.0000	864.0000	-775.7931	1005.5748	  0.0000
 48.0000	864.0000	-642.4385	806.2616	  0.0000
 64.0000	864.0000	-611.9823	779.4714	  0.0000
 80.0000	864.0000	-357.5405	698.7396	  0.0000
 96.0000	864.0000	-253.6109	696.2253	  0.0000
112.0000	864.0000	-76.4549	586.6839	  0.0000
128.0000	864.0000	288.1243	471.2545	  0.0000
144.0000	864.0000	712.4153	391.7934	  0.0000
160.0000	864.0000	     nan	     nan	  1.0000
176.0000	864.0000	933.9088	365.0876	  0.0000
192.0000	864.0000	982.4151	317.2481	  0.0000
208.0000	864.0000	1395.9747	303.9854	  0.0000
224.0000	864.0000	1151.6244	279.6709	  0.0000
240.0000	864.0000	1428.9108	170.5933	  0.0000
256.0000	864.0000	     nan	     nan	  1.0000
272.0000	864.0000	1654.6190	 62.7081	  0.0000
288.0000	864.0000	     nan	     nan	  1.0000
304.0000	864.0000	     nan	     nan	  1.0000
